State,County,Provisional Drug Overdose Deaths,"Bachelor's degree or higher, 2021","High school diploma only, 2021","Less than a high school diploma, 2021",NET_MIG_2021,N_POP_CHG_2021,Civilian_labor_force_2021,Median_Household_Income_2021,Unemployment_rate_2021
ND,Adams,0.0,302.0,591.0,115.0,-21.0,-35.0,976.0,56364.0,2.9
ND,Billings,0.0,160.0,227.0,35.0,24.0,28.0,456.0,77375.0,2.4
ND,Bottineau,0.0,1090.0,1271.0,299.0,58.0,53.0,2997.0,67400.0,4.0
ND,Bowman,0.0,393.0,737.0,202.0,-68.0,-82.0,1602.0,68253.0,2.1
ND,Burke,0.0,329.0,450.0,90.0,-37.0,-35.0,1056.0,71492.0,3.6
ND,Burleigh,139.0,24537.0,15232.0,3371.0,103.0,373.0,52074.0,71980.0,2.6
ND,Cass,334.0,48501.0,21855.0,5512.0,3519.0,4419.0,108123.0,66351.0,2.4
ND,Cavalier,0.0,658.0,718.0,146.0,-17.0,-30.0,1890.0,65006.0,2.6
ND,Dickey,0.0,825.0,920.0,254.0,-44.0,-66.0,2286.0,55270.0,2.3
ND,Divide,0.0,367.0,392.0,114.0,-15.0,-21.0,1450.0,64646.0,2.1
ND,Dunn,0.0,573.0,1010.0,315.0,-108.0,-75.0,3084.0,75713.0,2.8
ND,Eddy,0.0,418.0,532.0,176.0,17.0,2.0,1200.0,57277.0,3.3
ND,Emmons,0.0,445.0,906.0,279.0,-6.0,-31.0,1482.0,55883.0,3.9
ND,Foster,0.0,549.0,667.0,183.0,-11.0,-26.0,1522.0,69364.0,2.4
ND,Golden Valley,0.0,316.0,368.0,80.0,40.0,37.0,854.0,63973.0,2.3
ND,Grand Forks,51.0,15698.0,9335.0,2016.0,-899.0,-614.0,37290.0,64804.0,2.7
ND,Grant,0.0,366.0,595.0,116.0,43.0,22.0,1245.0,48544.0,2.2
ND,Griggs,0.0,496.0,490.0,126.0,-4.0,-13.0,1035.0,59520.0,2.4
ND,Hettinger,0.0,311.0,623.0,210.0,-31.0,-45.0,1397.0,54282.0,2.7
ND,Kidder,0.0,313.0,567.0,180.0,-20.0,-26.0,1327.0,55020.0,4.3
ND,LaMoure,0.0,685.0,867.0,343.0,-10.0,-6.0,2064.0,65932.0,1.9
ND,Logan,0.0,304.0,405.0,136.0,-3.0,-8.0,874.0,51318.0,2.5
ND,McHenry,0.0,799.0,1266.0,300.0,-45.0,-72.0,3157.0,64262.0,3.6
ND,McIntosh,0.0,323.0,692.0,307.0,19.0,-5.0,1100.0,54211.0,2.9
ND,McKenzie,10.0,2001.0,2679.0,561.0,-1002.0,-925.0,8665.0,86294.0,4.5
ND,Mercer,0.0,1252.0,1566.0,576.0,-13.0,-18.0,3702.0,78823.0,3.9
ND,Nelson,0.0,547.0,663.0,149.0,89.0,51.0,1415.0,62095.0,3.1
ND,Oliver,0.0,262.0,364.0,80.0,2.0,4.0,880.0,72965.0,3.3
ND,Pembina,0.0,1075.0,1549.0,469.0,-42.0,-48.0,3336.0,63809.0,4.0
ND,Pierce,0.0,824.0,855.0,198.0,6.0,-25.0,1690.0,55747.0,2.8
ND,Ramsey,0.0,2007.0,2142.0,703.0,40.0,25.0,5780.0,63973.0,2.7
ND,Renville,0.0,356.0,484.0,98.0,2.0,-11.0,1213.0,66937.0,2.8
ND,Sargent,0.0,555.0,952.0,170.0,-9.0,-17.0,2396.0,69666.0,2.3
ND,Sheridan,0.0,146.0,420.0,132.0,13.0,3.0,667.0,49374.0,4.3
ND,Slope,0.0,152.0,173.0,52.0,-13.0,-9.0,361.0,57922.0,2.5
ND,Steele,0.0,393.0,321.0,50.0,12.0,11.0,942.0,77013.0,2.4
ND,Towner,0.0,244.0,504.0,194.0,-2.0,-14.0,1156.0,66452.0,2.8
ND,Walsh,0.0,1340.0,2523.0,955.0,-23.0,-45.0,5312.0,61472.0,3.8
ND,Ward,159.0,12895.0,13187.0,2722.0,-882.0,-486.0,32114.0,69957.0,3.6
ND,Wells,0.0,646.0,1128.0,252.0,-37.0,-66.0,1916.0,63665.0,3.5
WV,Berkeley,1137.0,19351.0,30806.0,7944.0,3559.0,3503.0,59357.0,70893.0,3.6
WV,Boone,258.0,1767.0,7418.0,2501.0,-220.0,-372.0,7100.0,41227.0,6.2
WV,Braxton,82.0,1300.0,4449.0,1687.0,-28.0,-104.0,5059.0,41587.0,6.8
WV,Brooke,191.0,3362.0,6836.0,1155.0,-121.0,-363.0,9822.0,52217.0,6.1
